Issuer name,Issuer LEI code,Latest position date,Sum short %
NIBE Industrier AB,549300ZQH0FIF1P0MX67,2024-11-15,11.21
Arjo AB (publ),549300OWGJPYKC6JF790,2024-11-15,1.36
Moberg Pharma AB (publ),549300XFXK7DVGDRP410,2024-11-15,2.44
Billerud Aktiebolag (publ),549300YJUYJ9A24RXL71,2024-11-15,1.14
Kebni AB (publ),549300UWE2XN3O7TXX74,2024-11-15,0.2
Active Biotech AB (publ),549300OJ44CLMRU8YE43,2024-11-12,0.56
Avanza Bank Holding AB,549300MBWR5H8SIJLE03,2024-11-15,8.26
Yubico AB,549300I9RBIU9DW59H39,2024-11-15,4.32
Sinch AB (publ),549300UXY7QM6IDCGI12,2024-11-15,5.64
Corline Biomedical AB,549300KYLOA3DVEPZ069,2024-11-15,0.2
Logistea AB,549300ZSB0ZCKM1SL747,2024-11-05,0.2
New Wave Group AB,5493006EIYZZYQILKS31,2024-11-14,3.4
INVISIO AB,54930054EB7KX3MY2Q11,2024-11-14,0.37
Infant Bacterial Therapeutics AB,2138008KVBXCRJGP6Z26,2024-10-28,0.1
Orrön Energy AB,549300IULC8F8IGXKI15,2024-11-14,3.66
JM AB,529900X0UEM9DOM6FK12,2024-11-14,10.39
Smart Eye Aktiebolag (publ),549300BUD7ZPFPKM6856,2024-11-14,3.43
Samhällsbyggnadsbolaget i Norden AB,549300HX9MRFY47AH564,2024-11-14,13.68
Tobii AB,54930045LD4XTJCBGS35,2024-11-14,3.13
Beijer Ref AB (publ),549300PZZEUVH08H4G75,2024-11-07,4.01
BioArctic AB,549300Y0OI2WVUNHLC33,2024-11-11,4.74
Munters Group AB,549300KYCB37YAVUV523,2024-11-06,1.49
Embracer Group AB,549300RFXXKT652HB549,2024-11-14,6.22
Telefonaktiebolaget LM Ericsson,549300W9JLPW15XIFM52,2024-11-15,1.75
Fastighets AB Balder,549300GHKJCEZOAEUU82,2024-11-14,4.06
