Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
BlackRock Investment Management (UK) Limited,abrdn plc,GB00BF8Q6K64,2.04,2024-10-08
Canada Pension Plan Investment Board,abrdn plc,GB00BF8Q6K64,0.8,2024-11-11
GLG Partners LP,abrdn plc,GB00BF8Q6K64,0.68,2024-10-30
Qube Research & Technologies Limited,abrdn plc,GB00BF8Q6K64,1.3,2024-11-14
"Samlyn Capital, LLC",abrdn plc,GB00BF8Q6K64,0.91,2024-08-16
SurgoCap Partners LP,abrdn plc,GB00BF8Q6K64,0.52,2024-07-01
GLG Partners LP,Advanced Medical Solutions Group,GB0004536594,1.0,2024-09-11
Helikon Investments Limited,AFC Energy,GB00B18S7B29,2.53,2024-11-13
BlackRock Investment Management (UK) Limited,Alliance Pharma,GB0031030819,0.83,2024-11-05
BlackRock Investment Management (UK) Limited,ALPHAWAVE IP GROUP PLC,GB00BNDRMJ14,0.61,2024-10-14
GLG Partners LP,ALPHAWAVE IP GROUP PLC,GB00BNDRMJ14,0.8,2024-10-28
JPMorgan Asset Management (UK) Ltd,ALPHAWAVE IP GROUP PLC,GB00BNDRMJ14,1.41,2024-10-28
Qube Research & Technologies Limited,ALPHAWAVE IP GROUP PLC,GB00BNDRMJ14,0.71,2024-10-22
JPMorgan Asset Management (UK) Ltd,ASHMORE GROUP PLC,GB00B132NW22,0.61,2024-10-10
GLG Partners LP,ASHTEAD TECHNOLOGY HOLDINGS PLC,GB00BLH42507,0.81,2024-11-05
"Arrowstreet Capital, Limited Partnership",ASOS PLC,GB0030927254,0.69,2024-09-27
"Enhalus Capital, LP",ASOS PLC,GB0030927254,0.52,2024-11-01
Qube Research & Technologies Limited,ASOS PLC,GB0030927254,0.72,2024-11-05
"SIH PARTNERS, LLLP",ASOS PLC,GB0030927254,0.68,2024-11-14
GLG Partners LP,ASSURA PLC,GB00BVGBWW93,0.6,2024-11-13
Helikon Investments Limited,Aston Martin Lagonda Global Holdings PLC,GB00BN7CG237,1.02,2024-11-04
Marshall Wace LLP,Aston Martin Lagonda Global Holdings PLC,GB00BN7CG237,0.83,2024-09-30
Qube Research & Technologies Limited,Aston Martin Lagonda Global Holdings PLC,GB00BN7CG237,1.32,2024-11-13
GLG Partners LP,AUCTION TECHNOLOGY GROUP PLC,GB00BMVQDZ64,1.09,2024-11-14
JPMorgan Asset Management (UK) Ltd,AUCTION TECHNOLOGY GROUP PLC,GB00BMVQDZ64,1.0,2024-10-28
Marshall Wace LLP,AUCTION TECHNOLOGY GROUP PLC,GB00BMVQDZ64,0.69,2024-11-13
Qube Research & Technologies Limited,AUCTION TECHNOLOGY GROUP PLC,GB00BMVQDZ64,0.6,2024-10-18
GSA Capital Partners LLP,Avacta Group,GB00BYYW9G87,0.78,2024-07-10
